probeid	direction	GeneSymbol
1449363_at	Up	Atf3
1426808_at	Up	Lgals3
1424143_a_at	Up	Cdt1
1438852_x_at	Up	Mcm6
1451798_at	Up	Il1rn
1416802_a_at	Up	Cdca5
1436808_x_at	Up	Mcm5
1415810_at	Up	Uhrf1
1422016_a_at	Up	Cenph
1427347_s_at	Up	Tubb2a
1416326_at	Up	Crip1
1433408_a_at	Up	Mcm10
1448627_s_at	Up	Pbk
1452679_at	Up	Tubb2b
1422628_at	Up	Fam111a
1437163_x_at	Up	Gtf2h4
1427838_at	Up	Tubb2a
1417725_a_at	Up	Znrd2
1448899_s_at	Up	Rad51ap1
1416258_at	Up	Tk1
1415945_at	Up	Mcm5
1418281_at	Up	Rad51
1449773_s_at	Up	Gadd45b
1422430_at	Up	Fignl1
1448314_at	Up	Cdk1
1434920_a_at	Up	Evl
1424542_at	Up	S100a4
1415878_at	Up	Rrm1
1424351_at	Up	Wfdc2
1440254_at	Up	Snord104
1417938_at	Up	Rad51ap1
1416641_at	Up	Lig1
1429295_s_at	Up	Trip13
1456280_at	Up	Clspn
1430811_a_at	Up	Nuf2
1428481_s_at	Up	Cdca8
1423775_s_at	Up	Prc1
1428105_at	Up	Tpx2
1424321_at	Up	Rfc4
1456057_x_at	Up	Tmem109
1423774_a_at	Up	Prc1
1455399_at	Up	Cnksr1
1438165_x_at	Up	Vat1
1429172_a_at	Up	Ncapg
1423700_at	Up	Rfc3
1424144_at	Up	Cdt1
1451046_at	Up	Zfpm1
1447493_at	Up	Pirt
1435390_at	Up	Eri2
1457139_at	Up	Auts2
1428291_at	Up	Exosc8
1454694_a_at	Up	Top2a
1427275_at	Up	Smc4
1460632_at	Up	Rdh10
1452912_at	Up	Dscc1
1443882_at	Up	Slc26a2
1439387_x_at	Up	Ctu2
1424127_at	Up	Eya2
1448650_a_at	Up	Pole
1424278_a_at	Up	Birc5
1417351_a_at	Up	Snrpa1
1454738_x_at	Up	Pex6
1437186_at	Up	BC055324
1455834_x_at	Up	Tacc3
1427141_at	Up	2700099C18Rik
1453416_at	Up	Gas2l3
1417665_a_at	Up	Cpsf1
1435053_s_at	Up	Plekhh1
1417404_at	Up	Elovl6
1433407_at	Up	Mcm10
1417268_at	Up	Cd14
1449877_s_at	Up	Kifc5b,Kifc1
1424022_at	Up	Osgin1
1453752_at	Up	Rpl17,Gm10362,Rpl17-ps10,Rpl17-ps9
1424733_at	Up	P2ry14
1455841_s_at	Up	Grwd1
1452117_a_at	Up	Fyb
1418369_at	Up	Prim1
1419998_at	Up	NA
1456055_x_at	Up	Pold1
1436959_x_at	Up	Nsmf
1418201_at	Up	Plekhg2
1424610_at	Up	Trub2
1437716_x_at	Up	Kif22
1436707_x_at	Up	Ncaph
1428405_at	Up	Hcfc1r1
1434376_at	Up	Cd44
1424629_at	Up	Brca1
1439040_at	Up	Cenpe
1437390_x_at	Up	Stx1a
1424370_s_at	Up	Psmf1
1450914_at	Up	Ppp1r14b
1426690_a_at	Up	Srebf1
1430777_a_at	Up	Golph3
1417045_at	Up	Bid
1436725_at	Up	Arhgef39
1438853_x_at	Up	Ddx54
1434734_at	Up	Rad54b
1420683_at	Up	Bnipl
1430147_a_at	Up	Taf1d
1441081_a_at	Up	1110038B12Rik
1448916_at	Up	Mafg
1418133_at	Up	Bcl3
1452917_at	Up	Rfc5
1436187_at	Up	Lppos
